1000,975,950,925,900,875,850,825,800,775,750,725,700,675,650,625,600,575,550,525,500,475,450,425,400,375,350,325,300,275,250,225,200,175,150,125,100
0.27227592,0.2828865,0.31567574,0.2716484,0.2402668,0.22402763,0.11722946,-0.45478058,-1.7131958,-3.1306686,-3.2334614,-2.1658173,-1.1866264,-0.6628895,-0.046283722,0.6934738,1.1810417,1.0193024,0.2777748,-0.09855652,-0.14716339,0.19069672,0.45706177,0.8251419,1.4081459,2.6654663,4.7657776,5.657486,5.061508,5.2530365,7.655754,11.049225,11.96154,10.229275,6.296467,7.984688,7.0152454
1.8991718,1.9386139,1.9360142,1.9870491,2.0808487,2.005247,1.9961052,1.9431953,2.0154877,2.4615917,3.7316875,5.163349,6.1863556,6.8473186,7.1603584,7.0770683,6.581238,5.920395,5.4312096,5.5108833,5.844696,6.207329,6.443264,6.930496,8.003208,10.622997,13.846176,16.478394,18.235748,18.571075,16.335941,14.474346,10.674263,4.364437,-1.0421715,-1.1795311,-1.2544098
2.18882,2.2544155,2.2271595,2.2968864,2.425827,2.406887,2.2912903,1.934948,1.5070896,0.98810196,0.19321632,-0.55833435,-0.8512783,-0.84650993,-1.2691269,-2.2472858,-3.4450417,-4.5056477,-5.149992,-5.0536194,-4.613949,-3.9000359,-3.567501,-3.7539444,-4.2666435,-5.043457,-6.1627045,-7.298813,-7.528427,-5.847515,-2.2570724,0.23936844,0.1918602,1.6588478,-0.496418,-4.620476,0.14716816
2.8915157,2.9010754,2.925579,2.987856,3.3390903,3.5611782,3.444622,3.2361622,3.183689,3.1231022,3.4519062,4.088583,4.9562855,5.688093,6.2312584,6.605974,7.1210327,7.8504906,9.1221695,10.494919,11.89286,13.943279,15.698116,16.694775,15.507385,14.58004,15.160793,16.633263,17.666828,17.636662,17.106464,15.162285,11.987228,12.970751,6.499901,1.538969,5.5818386
1.9544106,1.9625835,1.9669037,2.0784473,2.5368748,2.9085636,3.2374249,3.7715626,4.51787,5.266514,5.8497486,6.104492,6.0848637,5.892374,5.5288124,4.738083,3.5973625,2.6544228,2.501831,3.20644,4.4292107,4.3782883,4.182064,4.0491333,3.8003197,3.8979874,4.7180023,6.242241,7.5207443,8.15469,6.6093445,6.325863,7.014641,5.82695,6.858206,10.596481,9.782396
-2.3258247,-2.2952652,-2.315487,-2.5822182,-3.295374,-3.9221268,-4.472563,-4.622265,-4.732025,-5.015398,-5.502304,-6.212618,-7.643799,-9.760782,-13.153381,-17.264704,-21.163208,-24.905918,-28.449646,-31.113716,-33.135902,-34.187214,-35.09973,-36.190414,-37.950836,-40.02772,-41.709885,-42.391804,-42.551144,-43.14663,-43.207237,-34.768215,-29.479076,-24.044132,-14.664726,-8.580883,-3.889843
2.4054813,2.414112,2.3952885,2.3870144,2.7678776,3.1044254,3.2893524,3.4531841,3.5935478,3.8484287,3.9563293,3.8095112,3.115528,2.1034355,0.97133636,0.010196686,-0.19684982,0.14365768,1.2404919,2.6629906,4.185753,5.1193123,5.298458,4.801304,4.088913,3.355259,2.9599419,3.080822,3.4704704,4.3265495,4.4253483,2.2100449,4.257099,7.1001472,8.349047,3.585289,4.038604
0.8136406,0.8484936,0.8299217,0.84519386,0.9613724,0.8592968,0.8936901,1.1260834,1.6885281,2.4976997,3.226612,3.831833,4.3961735,5.0034122,5.825203,6.729931,7.824192,8.672817,9.248024,9.496796,9.686081,9.841812,9.950722,10.192173,10.472969,10.55471,10.437611,10.260601,10.031578,9.8601,8.8286915,7.219158,7.152338,6.7106285,6.349601,7.7829466,10.2596
2.169508,2.1721897,2.1733894,2.291399,2.4699535,2.4233418,2.0090122,1.3804417,0.3820877,-0.81567764,-2.2263203,-3.6517677,-4.692795,-4.95389,-4.100731,-2.1298485,-0.114162445,1.8854752,3.7499313,5.474869,6.960888,7.800789,8.239677,8.609684,9.558197,10.568005,11.079529,9.723877,7.4720764,6.46727,5.4404907,3.4795609,3.2493553,2.4877472,2.9264145,2.2616692,0.3113289
